data,co_aluno,co_turma,presenca
2020-09-30,1,1,0
2020-10-03,1,1,1
2020-10-04,1,1,1
2020-10-05,1,1,1
2020-10-08,1,1,1
2020-10-09,1,1,1
2020-10-10,1,1,1
2020-10-13,1,1,0
2020-10-14,1,1,1
2020-10-15,1,1,0
2020-10-18,1,1,1
2020-10-19,1,1,0
2020-10-20,1,1,1
2020-10-23,1,1,1
2020-10-24,1,1,0
2020-10-25,1,1,1
2020-10-28,1,1,0
2020-10-29,1,1,0
2020-10-30,1,1,1
2020-11-02,1,1,1
2020-11-03,1,1,1
2020-11-04,1,1,1
2020-11-07,1,1,1
2020-11-08,1,1,1
2020-11-09,1,1,1
2020-11-12,1,1,1
2020-11-13,1,1,1
2020-11-14,1,1,1
2020-11-17,1,1,1
2020-11-18,1,1,1
2020-11-19,1,1,0
2020-11-22,1,1,1
2020-11-23,1,1,0
2020-11-24,1,1,1
2020-11-27,1,1,1
2020-11-28,1,1,1
2020-11-29,1,1,1
2020-12-02,1,1,1
2020-12-03,1,1,0
2020-12-04,1,1,0
2020-12-07,1,1,1
2020-12-08,1,1,1
2020-12-09,1,1,1
2020-01-15,2,1,0
2020-01-16,2,1,1
2020-01-17,2,1,1
2020-01-18,2,1,1
2020-01-19,2,1,1
2020-01-22,2,1,1
2020-01-23,2,1,1
2020-01-24,2,1,1
2020-01-27,2,1,1
2020-01-28,2,1,0
2020-01-29,2,1,1
2020-02-01,2,1,1
2020-02-02,2,1,1
2020-02-03,2,1,0
2020-02-06,2,1,1
2020-02-07,2,1,1
2020-02-08,2,1,1
2020-02-11,2,1,0
2020-02-12,2,1,0
2020-02-13,2,1,1
2020-02-16,2,1,1
2020-02-17,2,1,1
2020-02-18,2,1,1
2020-02-21,2,1,1
2020-02-22,2,1,0
2020-02-23,2,1,0
2020-02-26,2,1,1
2020-02-27,2,1,1
2020-02-28,2,1,1
2020-03-02,2,1,0
2020-03-03,2,1,0
2020-03-04,2,1,1
2020-03-07,2,1,1
2020-03-08,2,1,1
2020-03-09,2,1,1
2020-03-12,2,1,1
2020-03-13,2,1,1
2020-03-14,2,1,1
2020-03-17,2,1,1
2020-03-18,2,1,1
2020-03-19,2,1,0
2020-03-22,2,1,0
2020-03-23,2,1,1
2020-03-24,2,1,1
2020-03-27,2,1,1
2020-03-28,2,1,1
2020-03-29,2,1,0
2020-04-01,2,1,1
2020-04-02,2,1,0
2020-04-03,2,1,1
2020-04-06,2,1,1
2020-04-07,2,1,0
2020-04-08,2,1,1
2020-04-11,2,1,1
2020-04-12,2,1,1
2020-04-13,2,1,1
2020-04-16,2,1,1
2020-04-17,2,1,1
2020-04-18,2,1,1
2020-04-21,2,1,0
2020-04-22,2,1,0
2020-04-23,2,1,1
2020-04-26,2,1,1
2020-04-27,2,1,1
2020-04-28,2,1,1
2020-05-01,2,1,1
2020-05-02,2,1,1
2020-05-03,2,1,1
2020-05-06,2,1,1
2020-05-07,2,1,0
2020-05-08,2,1,1
2020-05-11,2,1,1
2020-05-12,2,1,1
2020-05-13,2,1,1
2020-05-16,2,1,1
2020-05-17,2,1,1
2020-05-18,2,1,0
2020-05-21,2,1,1
2020-05-22,2,1,0
2020-05-23,2,1,1
2020-05-26,2,1,1
2020-05-27,2,1,0
2020-05-28,2,1,1
2020-05-31,2,1,1
2020-06-01,2,1,1
2020-06-02,2,1,1
2020-06-05,2,1,0
2020-06-06,2,1,1
2020-06-07,2,1,1
2020-06-10,2,1,1
2020-06-11,2,1,1
2020-06-12,2,1,1
2020-06-15,2,1,1
2020-06-16,2,1,1
2020-06-17,2,1,1
2020-06-20,2,1,1
2020-06-21,2,1,1
2020-06-22,2,1,1
2020-06-25,2,1,1
2020-06-26,2,1,1
2020-06-27,2,1,1
2020-06-30,2,1,1
2020-07-01,2,1,1
2020-07-02,2,1,0
2020-07-05,2,1,0
2020-07-06,2,1,1
2020-07-07,2,1,1
2020-07-10,2,1,1
2020-07-11,2,1,1
2020-07-12,2,1,1
2020-07-15,2,1,0
2020-07-16,2,1,1
2020-07-17,2,1,1
2020-07-20,2,1,0
2020-07-21,2,1,1
2020-07-22,2,1,0
2020-07-25,2,1,1
2020-07-26,2,1,1
2020-07-27,2,1,0
2020-07-30,2,1,1
2020-07-31,2,1,1
2020-08-01,2,1,1
2020-08-04,2,1,1
2020-08-05,2,1,1
2020-08-06,2,1,1
2020-08-09,2,1,1
2020-08-10,2,1,0
2020-08-11,2,1,1
2020-08-14,2,1,1
2020-08-15,2,1,1
2020-08-16,2,1,1
2020-08-19,2,1,1
2020-08-20,2,1,1
2020-08-21,2,1,1
2020-08-24,2,1,1
2020-08-25,2,1,0
2020-08-26,2,1,0
2020-08-29,2,1,1
2020-08-30,2,1,0
2020-08-31,2,1,1
2020-09-03,2,1,1
2020-09-04,2,1,1
2020-09-05,2,1,1
2020-09-08,2,1,0
2020-09-09,2,1,1
2020-09-10,2,1,1
2020-09-13,2,1,1
2020-09-14,2,1,1
2020-09-15,2,1,1
2020-09-18,2,1,1
2020-09-19,2,1,0
2020-09-20,2,1,1
2020-09-23,2,1,1
2020-09-24,2,1,1
2020-09-25,2,1,1
2020-09-28,2,1,0
2020-09-29,2,1,1
2020-09-30,2,1,1
2020-10-03,2,1,0
2020-10-04,2,1,1
2020-10-05,2,1,1
2020-10-08,2,1,1
2020-10-09,2,1,0
2020-10-10,2,1,1
2020-10-13,2,1,1
2020-10-14,2,1,1
2020-10-15,2,1,1
2020-10-18,2,1,1
2020-10-19,2,1,0
2020-10-20,2,1,0
2020-10-23,2,1,0
2020-10-24,2,1,1
2020-10-25,2,1,1
2020-10-28,2,1,1
2020-10-29,2,1,1
2020-10-30,2,1,1
2020-11-02,2,1,1
2020-11-03,2,1,0
2020-11-04,2,1,1
2020-11-07,2,1,1
2020-11-08,2,1,1
2020-11-09,2,1,1
2020-11-12,2,1,0
2020-11-13,2,1,1
2020-11-14,2,1,1
2020-11-17,2,1,0
2020-11-18,2,1,1
2020-11-19,2,1,0
2020-11-22,2,1,1
2020-11-23,2,1,0
2020-11-24,2,1,0
2020-11-27,2,1,1
2020-11-28,2,1,1
2020-11-29,2,1,1
2020-12-02,2,1,1
2020-12-03,2,1,1
2020-12-04,2,1,1
2020-12-07,2,1,1
2020-12-08,2,1,1
2020-12-09,2,1,1
2020-01-15,3,1,1
2020-01-16,3,1,1
2020-01-17,3,1,1
2020-01-18,3,1,1
2020-01-19,3,1,0
2020-01-22,3,1,1
2020-01-23,3,1,1
2020-01-24,3,1,1
2020-01-27,3,1,1
2020-01-28,3,1,1
2020-01-29,3,1,0
2020-02-01,3,1,0
2020-02-02,3,1,1
2020-02-03,3,1,1
2020-02-06,3,1,1
2020-02-07,3,1,1
2020-02-08,3,1,1
2020-02-11,3,1,1
2020-02-12,3,1,1
2020-02-13,3,1,0
2020-02-16,3,1,1
2020-02-17,3,1,0
2020-02-18,3,1,1
2020-02-21,3,1,1
2020-02-22,3,1,1
2020-02-23,3,1,1
2020-02-26,3,1,1
2020-02-27,3,1,1
2020-02-28,3,1,1
2020-03-02,3,1,1
2020-03-03,3,1,0
2020-03-04,3,1,0
2020-03-07,3,1,1
2020-03-08,3,1,1
2020-03-09,3,1,1
2020-03-12,3,1,0
2020-03-13,3,1,0
2020-03-14,3,1,1
2020-03-17,3,1,1
2020-03-18,3,1,1
2020-03-19,3,1,0
2020-03-22,3,1,0
2020-03-23,3,1,1
2020-03-24,3,1,1
2020-03-27,3,1,0
2020-03-28,3,1,1
2020-03-29,3,1,1
2020-04-01,3,1,1
2020-04-02,3,1,1
2020-04-03,3,1,0
2020-04-06,3,1,0
2020-04-07,3,1,1
2020-04-08,3,1,1
2020-04-11,3,1,0
2020-04-12,3,1,1
2020-04-13,3,1,1
2020-04-16,3,1,0
2020-04-17,3,1,1
2020-04-18,3,1,1
2020-04-21,3,1,1
2020-04-22,3,1,1
2020-04-23,3,1,0
2020-04-26,3,1,1
2020-04-27,3,1,1
2020-04-28,3,1,1
2020-05-01,3,1,1
2020-05-02,3,1,1
2020-05-03,3,1,1
2020-05-06,3,1,1
2020-05-07,3,1,0
2020-05-08,3,1,0
2020-05-11,3,1,0
2020-05-12,3,1,1
2020-05-13,3,1,1
2020-05-16,3,1,1
2020-05-17,3,1,0
2020-05-18,3,1,1
2020-05-21,3,1,1
2020-05-22,3,1,0
2020-05-23,3,1,1
2020-05-26,3,1,1
2020-05-27,3,1,1
2020-05-28,3,1,1
2020-05-31,3,1,0
2020-06-01,3,1,1
2020-06-02,3,1,1
2020-06-05,3,1,1
2020-06-06,3,1,1
2020-06-07,3,1,1
2020-06-10,3,1,1
2020-06-11,3,1,0
2020-06-12,3,1,0
2020-06-15,3,1,1
2020-06-16,3,1,1
2020-06-17,3,1,1
2020-06-20,3,1,0
2020-06-21,3,1,0
2020-06-22,3,1,1
2020-06-25,3,1,1
2020-06-26,3,1,1
2020-06-27,3,1,1
2020-06-30,3,1,1
2020-07-01,3,1,1
2020-07-02,3,1,1
2020-07-05,3,1,1
2020-07-06,3,1,1
2020-07-07,3,1,1
2020-07-10,3,1,1
2020-07-11,3,1,1
2020-07-12,3,1,0
2020-07-15,3,1,1
2020-07-16,3,1,1
2020-07-17,3,1,1
2020-07-20,3,1,1
2020-07-21,3,1,1
2020-07-22,3,1,1
2020-07-25,3,1,1
2020-07-26,3,1,1
2020-07-27,3,1,1
2020-07-30,3,1,1
2020-07-31,3,1,0
2020-08-01,3,1,0
2020-08-04,3,1,0
2020-08-05,3,1,0
2020-08-06,3,1,0
2020-08-09,3,1,0
2020-08-10,3,1,1
2020-08-11,3,1,1
2020-08-14,3,1,1
2020-08-15,3,1,1
2020-08-16,3,1,1
2020-08-19,3,1,1
2020-08-20,3,1,1
2020-08-21,3,1,1
2020-08-24,3,1,1
2020-08-25,3,1,1
2020-08-26,3,1,0
2020-08-29,3,1,1
2020-08-30,3,1,1
2020-08-31,3,1,1
2020-09-03,3,1,0
2020-09-04,3,1,1
2020-09-05,3,1,1
2020-09-08,3,1,0
2020-09-09,3,1,1
2020-09-10,3,1,1
2020-09-13,3,1,1
2020-09-14,3,1,1
2020-09-15,3,1,0
2020-09-18,3,1,0
2020-09-19,3,1,1
2020-09-20,3,1,1
2020-09-23,3,1,1
2020-09-24,3,1,1
2020-09-25,3,1,1
2020-09-28,3,1,1
2020-09-29,3,1,1
2020-09-30,3,1,1
2020-10-03,3,1,1
2020-10-04,3,1,1
2020-10-05,3,1,1
2020-10-08,3,1,1
2020-10-09,3,1,1
2020-10-10,3,1,1
2020-10-13,3,1,1
2020-10-14,3,1,1
2020-10-15,3,1,0
2020-10-18,3,1,1
2020-10-19,3,1,0
2020-10-20,3,1,1
2020-10-23,3,1,1
2020-10-24,3,1,1
2020-10-25,3,1,1
2020-10-28,3,1,1
2020-10-29,3,1,1
2020-10-30,3,1,1
2020-11-02,3,1,1
2020-11-03,3,1,1
2020-11-04,3,1,0
2020-11-07,3,1,0
2020-11-08,3,1,1
2020-11-09,3,1,1
2020-11-12,3,1,0
2020-11-13,3,1,1
2020-11-14,3,1,1
2020-11-17,3,1,0
2020-11-18,3,1,1
2020-11-19,3,1,1
2020-11-22,3,1,0
2020-11-23,3,1,1
2020-11-24,3,1,1
2020-11-27,3,1,1
2020-11-28,3,1,0
2020-11-29,3,1,0
2020-12-02,3,1,1
2020-12-03,3,1,1
2020-12-04,3,1,1
2020-12-07,3,1,0
2020-12-08,3,1,1
2020-12-09,3,1,0
2020-01-15,4,1,0
2020-01-16,4,1,1
2020-01-17,4,1,0
2020-01-18,4,1,1
2020-01-19,4,1,1
2020-01-22,4,1,0
2020-01-23,4,1,1
2020-01-24,4,1,1
2020-01-27,4,1,1
2020-01-28,4,1,1
2020-01-29,4,1,1
2020-02-01,4,1,0
2020-02-02,4,1,1
2020-02-03,4,1,1
2020-02-06,4,1,1
2020-02-07,4,1,1
2020-02-08,4,1,1
2020-02-11,4,1,1
2020-02-12,4,1,1
2020-02-13,4,1,1
2020-02-16,4,1,0
2020-02-17,4,1,0
2020-02-18,4,1,1
2020-02-21,4,1,1
2020-02-22,4,1,0
2020-02-23,4,1,1
2020-02-26,4,1,1
2020-02-27,4,1,1
2020-02-28,4,1,0
2020-03-02,4,1,1
2020-03-03,4,1,0
2020-03-04,4,1,1
2020-03-07,4,1,0
2020-03-08,4,1,1
2020-03-09,4,1,1
2020-03-12,4,1,1
2020-03-13,4,1,1
2020-03-14,4,1,0
2020-03-17,4,1,1
2020-03-18,4,1,1
2020-03-19,4,1,1
2020-03-22,4,1,1
2020-03-23,4,1,0
2020-03-24,4,1,1
2020-03-27,4,1,1
2020-03-28,4,1,0
2020-03-29,4,1,0
2020-04-01,4,1,0
2020-04-02,4,1,1
2020-04-03,4,1,1
2020-04-06,4,1,0
2020-04-07,4,1,1
2020-04-08,4,1,1
2020-04-11,4,1,1
2020-04-12,4,1,1
2020-04-13,4,1,1
2020-04-16,4,1,1
2020-04-17,4,1,1
2020-04-18,4,1,1
2020-04-21,4,1,1
2020-04-22,4,1,1
2020-04-23,4,1,1
2020-04-26,4,1,1
2020-04-27,4,1,1
2020-04-28,4,1,0
2020-05-01,4,1,1
2020-05-02,4,1,0
2020-05-03,4,1,1
2020-05-06,4,1,0
2020-05-07,4,1,0
2020-05-08,4,1,0
2020-05-11,4,1,1
2020-05-12,4,1,1
2020-05-13,4,1,1
2020-05-16,4,1,1
2020-05-17,4,1,0
2020-05-18,4,1,0
2020-05-21,4,1,1
2020-05-22,4,1,1
2020-05-23,4,1,0
2020-05-26,4,1,0
2020-05-27,4,1,1
2020-05-28,4,1,1
2020-05-31,4,1,1
2020-06-01,4,1,1
2020-06-02,4,1,0
2020-06-05,4,1,0
2020-06-06,4,1,1
2020-06-07,4,1,0
2020-06-10,4,1,1
2020-06-11,4,1,1
2020-06-12,4,1,0
2020-06-15,4,1,0
2020-06-16,4,1,1
2020-06-17,4,1,0
2020-06-20,4,1,0
2020-06-21,4,1,0
2020-06-22,4,1,1
2020-06-25,4,1,0
2020-06-26,4,1,1
2020-06-27,4,1,1
2020-06-30,4,1,1
2020-07-01,4,1,1
2020-07-02,4,1,1
2020-07-05,4,1,1
2020-07-06,4,1,1
2020-07-07,4,1,1
2020-07-10,4,1,1
2020-07-11,4,1,1
2020-07-12,4,1,1
2020-07-15,4,1,1
2020-07-16,4,1,1
2020-07-17,4,1,1
2020-07-20,4,1,1
2020-07-21,4,1,1
2020-07-22,4,1,0
2020-07-25,4,1,0
2020-07-26,4,1,1
2020-07-27,4,1,1
2020-07-30,4,1,1
2020-07-31,4,1,1
2020-08-01,4,1,1
2020-08-04,4,1,1
2020-08-05,4,1,1
2020-08-06,4,1,1
2020-08-09,4,1,1
2020-08-10,4,1,0
2020-08-11,4,1,0
2020-08-14,4,1,1
2020-08-15,4,1,0
2020-08-16,4,1,0
2020-08-19,4,1,1
2020-08-20,4,1,1
2020-08-21,4,1,1
2020-08-24,4,1,1
2020-08-25,4,1,1
2020-08-26,4,1,1
2020-08-29,4,1,0
2020-08-30,4,1,1
2020-08-31,4,1,0
2020-09-03,4,1,1
2020-09-04,4,1,1
2020-09-05,4,1,0
2020-09-08,4,1,1
2020-09-09,4,1,1
2020-09-10,4,1,1
2020-09-13,4,1,1
2020-09-14,4,1,1
2020-09-15,4,1,0
2020-09-18,4,1,1
2020-09-19,4,1,1
2020-09-20,4,1,1
2020-09-23,4,1,1
2020-09-24,4,1,1
2020-09-25,4,1,1
2020-09-28,4,1,1
2020-09-29,4,1,1
2020-09-30,4,1,0
2020-10-03,4,1,1
2020-10-04,4,1,0
2020-10-05,4,1,1
2020-10-08,4,1,0
2020-10-09,4,1,0
2020-10-10,4,1,1
2020-10-13,4,1,1
2020-10-14,4,1,1
2020-10-15,4,1,0
2020-10-18,4,1,1
2020-10-19,4,1,0
2020-10-20,4,1,1
2020-10-23,4,1,1
2020-10-24,4,1,0
2020-10-25,4,1,1
2020-10-28,4,1,0
2020-10-29,4,1,1
2020-10-30,4,1,1
2020-11-02,4,1,0
2020-11-03,4,1,1
2020-11-04,4,1,1
2020-11-07,4,1,0
2020-11-08,4,1,0
2020-11-09,4,1,1
2020-11-12,4,1,1
2020-11-13,4,1,1
2020-11-14,4,1,1
2020-11-17,4,1,1
2020-11-18,4,1,0
2020-11-19,4,1,1
2020-11-22,4,1,0
2020-11-23,4,1,1
2020-11-24,4,1,1
2020-11-27,4,1,1
2020-11-28,4,1,1
2020-11-29,4,1,1
2020-12-02,4,1,1
2020-12-03,4,1,1
2020-12-04,4,1,0
2020-12-07,4,1,1
2020-12-08,4,1,1
2020-12-09,4,1,1
2020-01-15,5,1,1
2020-01-16,5,1,1
2020-01-17,5,1,0
2020-01-18,5,1,1
2020-01-19,5,1,0
2020-01-22,5,1,1
2020-01-23,5,1,1
2020-01-24,5,1,0
2020-01-27,5,1,1
2020-01-28,5,1,1
2020-01-29,5,1,1
2020-02-01,5,1,1
2020-02-02,5,1,0
2020-02-03,5,1,1
2020-02-06,5,1,1
2020-02-07,5,1,0
2020-02-08,5,1,1
2020-02-11,5,1,0
2020-02-12,5,1,0
2020-02-13,5,1,0
2020-02-16,5,1,0
2020-02-17,5,1,1
2020-02-18,5,1,1
2020-02-21,5,1,0
2020-02-22,5,1,1
2020-02-23,5,1,1
2020-02-26,5,1,0
2020-02-27,5,1,1
2020-02-28,5,1,1
2020-03-02,5,1,1
2020-03-03,5,1,1
2020-03-04,5,1,1
2020-03-07,5,1,0
2020-03-08,5,1,1
2020-03-09,5,1,0
2020-03-12,5,1,1
2020-03-13,5,1,1
2020-03-14,5,1,1
2020-03-17,5,1,1
2020-03-18,5,1,1
2020-03-19,5,1,1
2020-03-22,5,1,1
2020-03-23,5,1,1
2020-03-24,5,1,1
2020-03-27,5,1,1
2020-03-28,5,1,1
2020-03-29,5,1,1
2020-04-01,5,1,1
2020-04-02,5,1,1
2020-04-03,5,1,1
2020-04-06,5,1,1
2020-04-07,5,1,1
2020-04-08,5,1,0
2020-04-11,5,1,1
2020-04-12,5,1,1
2020-04-13,5,1,1
2020-04-16,5,1,1
2020-04-17,5,1,1
2020-04-18,5,1,1
2020-04-21,5,1,1
2020-04-22,5,1,1
2020-04-23,5,1,1
2020-04-26,5,1,1
2020-04-27,5,1,1
2020-04-28,5,1,0
2020-05-01,5,1,1
2020-05-02,5,1,1
2020-05-03,5,1,1
2020-05-06,5,1,1
2020-05-07,5,1,1
2020-05-08,5,1,0
2020-05-11,5,1,1
2020-05-12,5,1,1
2020-05-13,5,1,0
2020-05-16,5,1,1
2020-05-17,5,1,1
2020-05-18,5,1,1
2020-05-21,5,1,1
2020-05-22,5,1,1
2020-05-23,5,1,1
2020-05-26,5,1,1
2020-05-27,5,1,0
2020-05-28,5,1,1
2020-05-31,5,1,1
2020-06-01,5,1,1
2020-06-02,5,1,1
2020-06-05,5,1,1
2020-06-06,5,1,0
2020-06-07,5,1,1
2020-06-10,5,1,0
2020-06-11,5,1,0
2020-06-12,5,1,0
2020-06-15,5,1,1
2020-06-16,5,1,1
2020-06-17,5,1,1
2020-06-20,5,1,1
2020-06-21,5,1,1
2020-06-22,5,1,1
2020-06-25,5,1,0
2020-06-26,5,1,0
2020-06-27,5,1,1
2020-06-30,5,1,1
2020-07-01,5,1,1
2020-07-02,5,1,1
2020-07-05,5,1,0
2020-07-06,5,1,1
2020-07-07,5,1,1
2020-07-10,5,1,0
2020-07-11,5,1,1
2020-07-12,5,1,1
2020-07-15,5,1,1
2020-07-16,5,1,1
2020-07-17,5,1,1
2020-07-20,5,1,1
2020-07-21,5,1,1
2020-07-22,5,1,1
2020-07-25,5,1,1
2020-07-26,5,1,1
2020-07-27,5,1,1
2020-07-30,5,1,1
2020-07-31,5,1,1
2020-08-01,5,1,1
2020-08-04,5,1,0
2020-08-05,5,1,0
2020-08-06,5,1,0
2020-08-09,5,1,0
2020-08-10,5,1,1
2020-08-11,5,1,1
2020-08-14,5,1,1
2020-08-15,5,1,1
2020-08-16,5,1,0
2020-08-19,5,1,1
2020-08-20,5,1,1
2020-08-21,5,1,1
2020-08-24,5,1,1
2020-08-25,5,1,1
2020-08-26,5,1,1
2020-08-29,5,1,0
2020-08-30,5,1,0
2020-08-31,5,1,0
2020-09-03,5,1,1
2020-09-04,5,1,1
2020-09-05,5,1,0
2020-09-08,5,1,1
2020-09-09,5,1,1
2020-09-10,5,1,1
2020-09-13,5,1,1
2020-09-14,5,1,1
2020-09-15,5,1,1
2020-09-18,5,1,0
2020-09-19,5,1,0
2020-09-20,5,1,1
2020-09-23,5,1,1
2020-09-24,5,1,1
2020-09-25,5,1,0
2020-09-28,5,1,1
2020-09-29,5,1,0
2020-09-30,5,1,0
2020-10-03,5,1,1
2020-10-04,5,1,1
2020-10-05,5,1,1
2020-10-08,5,1,0
2020-10-09,5,1,1
2020-10-10,5,1,1
2020-10-13,5,1,1
2020-10-14,5,1,1
2020-10-15,5,1,0
2020-10-18,5,1,1
2020-10-19,5,1,0
2020-10-20,5,1,1
2020-10-23,5,1,1
2020-10-24,5,1,1
2020-10-25,5,1,1
2020-10-28,5,1,1
2020-10-29,5,1,1
2020-10-30,5,1,1
2020-11-02,5,1,1
2020-11-03,5,1,1
2020-11-04,5,1,0
2020-11-07,5,1,1
2020-11-08,5,1,1
2020-11-09,5,1,1
2020-11-12,5,1,1
2020-11-13,5,1,1
2020-11-14,5,1,0
2020-11-17,5,1,1
2020-11-18,5,1,1
2020-11-19,5,1,1
2020-11-22,5,1,0
2020-11-23,5,1,1
2020-11-24,5,1,0
2020-11-27,5,1,1
2020-11-28,5,1,1
2020-11-29,5,1,1
2020-12-02,5,1,0
2020-12-03,5,1,1
2020-12-04,5,1,1
2020-12-07,5,1,1
2020-12-08,5,1,1
2020-12-09,5,1,0
2020-01-15,6,1,1
2020-01-16,6,1,0
2020-01-17,6,1,1
2020-01-18,6,1,1
2020-01-19,6,1,1
2020-01-22,6,1,1
2020-01-23,6,1,1
2020-01-24,6,1,1
2020-01-27,6,1,1
2020-01-28,6,1,1
2020-01-29,6,1,1
2020-02-01,6,1,0
2020-02-02,6,1,0
2020-02-03,6,1,1
2020-02-06,6,1,0
2020-02-07,6,1,0
2020-02-08,6,1,1
2020-02-11,6,1,1
2020-02-12,6,1,1
2020-02-13,6,1,1
2020-02-16,6,1,0
2020-02-17,6,1,1
2020-02-18,6,1,1
2020-02-21,6,1,0
2020-02-22,6,1,1
2020-02-23,6,1,1
2020-02-26,6,1,0
2020-02-27,6,1,1
2020-02-28,6,1,0
2020-03-02,6,1,1
2020-03-03,6,1,0
2020-03-04,6,1,1
2020-03-07,6,1,1
2020-03-08,6,1,1
2020-03-09,6,1,1
2020-03-12,6,1,1
2020-03-13,6,1,1
2020-03-14,6,1,1
2020-03-17,6,1,1
2020-03-18,6,1,1
2020-03-19,6,1,0
2020-03-22,6,1,1
2020-03-23,6,1,0
2020-03-24,6,1,1
2020-03-27,6,1,1
2020-03-28,6,1,1
2020-03-29,6,1,0
2020-04-01,6,1,0
2020-04-02,6,1,1
2020-04-03,6,1,0
2020-04-06,6,1,1
2020-04-07,6,1,1
2020-04-08,6,1,1
2020-04-11,6,1,1
2020-04-12,6,1,1
2020-04-13,6,1,1
2020-04-16,6,1,1
2020-04-17,6,1,0
2020-04-18,6,1,1
2020-04-21,6,1,0
2020-04-22,6,1,0
2020-04-23,6,1,1
2020-04-26,6,1,1
2020-04-27,6,1,0
2020-04-28,6,1,1
2020-05-01,6,1,0
2020-05-02,6,1,1
2020-05-03,6,1,1
2020-05-06,6,1,0
2020-05-07,6,1,1
2020-05-08,6,1,1
2020-05-11,6,1,0
2020-05-12,6,1,1
2020-05-13,6,1,1
